sample,aprior age,end age,wc sat,wc wet,gamma dry,se,beta dry,se,conglom corr,external gamma,se,De,se
185804,107.4829932,59.18367347,21,0.5,0.25,0.01,0.52,0.02,1.885911939,0.174016256,0.008700813,141.9071264,4.764058036
185807,105.9322034,56.77966102,20,0.1,0.21,0.01,0.46,0.03,1.373207297,0.174016256,0.008700813,101.36608,10.3903185
185809,125.4237288,60,18,0.1,0.34,0.01,0.7,0.02,1.373207297,0.174016256,0.008700813,169.5621958,7.649823462
185810,91,60,29,1.6,0.44,0.02,0.81,0.03,1,0.174016256,0.008700813,120.8009706,8.802043132
185813,145.5782313,59.18367347,34,0.4,0.48,0.01,0.89,0.02,1.885911939,0.174016256,0.008700813,310.9456,84.79807417
185801,80.50847458,60,12,0.1,0.22,0.01,0.42,0.02,1.373207297,0.174016256,0.008700813,75.1143494,4.606271346
185802,329.6610169,60,36,0.3,0.27,0.02,0.51,0.03,1.373207297,0.174016256,0.008700813,357.1073969,24.08596978
185806,113.6054422,59.18367347,32,0.5,0.28,0.01,0.59,0.01,1.885911939,0.174016256,0.008700813,165.4077061,9.115172726
185808,129.3103448,60,29,0.1,0.25,0.01,0.5,0.02,1.323966872,0.201185245,0.010059262,136.4725818,5.371776819
185818,158.4745763,60,24,0.2,0.19,0.01,0.39,0.03,1.373207297,0.09466823,0.004733412,121.742161,7.673919651
185824,56.77966102,56.77966102,15,1.1,0.22,0.01,0.44,0.01,1.373207297,0.16450335,0.008225168,53.02027569,2.760713569
185826,65.25423729,56.77966102,17,1.6,0.23,0.01,0.42,0.01,1.373207297,0.147468475,0.007373424,58.42797352,2.369068185
185834,139.8305085,61.86440678,20,1.2,0.11,0,0.24,0.01,1.373207297,0.283826998,0.01419135,103.0500545,4.533475895
185835,61.86440678,61.86440678,36,4.5,0.43,0.03,0.93,0.06,1,0.234519771,0.011725989,105.160835,4.256515518
185836,82.20338983,59.18367347,16,0.2,0.26,0.01,0.53,0.02,1.373207297,0.283826998,0.01419135,100.0552874,5.760697586
185837,112.7118644,60,15,0.1,0.31,0.01,0.62,0.02,1.373207297,0.234519771,0.011725989,147.7389419,6.206686115
185817,70.33898305,56.77966102,27,1.9,0.28,0.03,0.52,0.06,1.373207297,0.252075661,0.012603783,82.46036274,8.662331828
S231,156.25,60,18,0.5,0.24,0.01,0.43,0.02,1.55395135,0.114205514,0.005710276,151.8088398,8.673721936
185820,106,60,36,1.4,0.39,0.02,0.74,0.03,1,0.135520389,0.006776019,124.3239147,3.506089594
185821,107.7586207,60,20,1,0.29,0.02,0.53,0.03,1.323966872,0.182157375,0.009107869,119.4046947,4.58935829
185823,96,60,21,3.1,0.49,0.02,0.94,0.03,1,0.20977341,0.010488671,144.4749497,10.47199831
185828,74.14965986,59.18367347,10,0.6,0.39,0.01,0.77,0.02,1.885911939,0.195330594,0.00976653,138.8476506,6.649291776
185829,59.18367347,59.18367347,27,1,0.46,0.01,0.93,0.03,1.885911939,0.252075661,0.012603783,133.9625827,4.49204075
